LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 32.18860510805501, 32.18860510805501, 32.18860510805501, 1024.0, 1024.0, 59.7956204379562,
1, 51.38063504508036, 25.69031752254018, 51.38063504508036, 1024.0, 1024.0, 59.98718535469108,
2, 73.31161294833252, 18.32790323708313, 73.31161294833252, 1024.0, 1024.0, 59.99748240544716,
